Contrast,Delay,Diameter,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.4987137146489267,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.515367931682225,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.5420285203592956,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.5600663608039544,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.567558333145785,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.583964285652044,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.592067392613407,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.5950421474362,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.5977034610772463,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.6170408787754793,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.6237492514322873,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.6379933045368276,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.6596935785320344,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.6911757494083326,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.6989837113822361,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.7240167568955098,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.731003946972689,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.748573962738677,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.7724486039259821,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.7794635390706162,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.7955930530849564,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.8192330978946534,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.8385501044544839,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.8413808902174065,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.8527705706334883,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.873165449644684,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.8868235460441258,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.893433797261007,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.8990567904048834,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.900479940458932,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.9193642890777984,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.9358702024132948,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.9515905552804085,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.9664848686478362,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.9662747796593403,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.9767510431238207,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,1.9957075780673776,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.024082123509882,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.0416346247363104,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.0632571372272124,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.0775891935579907,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.103950433490932,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.1018487737776987,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.099506590887007,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.098506250505736,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.111759135370695,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.138504848340871,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.1431907551931877,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.152156111565993,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.1533455365520986,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.180005591597718,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.1867783225337223,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.2023863448890464,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.218573085543366,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.2328216160530476,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.235956542301937,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.2411254136667473,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.2591743181314228,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.2720148117358554,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.2864335881928417,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.289151340417852,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.305197878867237,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.3282704454481875,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.3431495374118305,standard,motor_control
1,0,370,0.016666666666666666,0,0.04,0,0,0,2.3665344730703795,standard,motor_control
