Contrast,Delay,Diameter,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,341,0.25,90,0.04,2,0,0,0,orientation_90,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
1,0,341,0.25,0,0,2,0,0,0,halt,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
0,0,341,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,341,0.25,90,0.04,2,0,0,0,orientation_90,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
1,0,341,0.25,0,0,2,0,0,0,halt,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
0,0,341,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,341,0.25,90,0.04,2,0,0,0,orientation_90,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
0,0,341,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
0,0,341,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,341,0.25,90,0.04,2,0,0,0,orientation_90,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
0,0,341,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,341,0.25,90,0.04,2,0,0,0,orientation_90,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
0,0,341,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
0,0,340,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,341,0.25,90,0.04,2,0,0,0,orientation_90,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
1,0,341,0.25,90,0.04,2,0,0,0,orientation_90,sequential_oddball
1,0,341,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
0,0,341,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
1,0,340,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
1,0,340,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
